Classifier,Dataset,Fit-Time,Predict-Time
WEASEL,DiatomSizeReduction,5.93,4.49
WEASEL,DistalPhalanxOutlineAgeGroup,10.47,0.8
WEASEL,DistalPhalanxOutlineCorrect,7.57,0.79
WEASEL,DistalPhalanxTW,4.17,0.3
WEASEL,Earthquakes,12.23,2.39
WEASEL,ECG200,4.79,0.56
WEASEL,ECG5000,4.94,12.54
WEASEL,ECGFiveDays,1.11,3.46
WEASEL,ElectricDevices,832.21,34.57
WEASEL,EOGHorizontalSignal,41.75,21.33
WEASEL,EOGVerticalSignal,34.04,16.73
WEASEL,EthanolLevel,62.22,40.51
WEASEL,FaceAll,9.9,5.98
WEASEL,FaceFour,2.49,0.93
WEASEL,FacesUCR,4.08,7.25
WEASEL,FiftyWords,16.19,3.46
WEASEL,Fish,5.15,2.32
WEASEL,FordA,197.41,20.51
WEASEL,FordB,240.83,12.39
WEASEL,FreezerRegularTrain,5.05,33.81
WEASEL,FreezerSmallTrain,1.45,30.87
WEASEL,GunPoint,1.35,0.61
WEASEL,GunPointAgeSpan,1.97,1.05
WEASEL,GunPointMaleVersusFemale,2.05,1.12
WEASEL,GunPointOldVersusYoung,1.95,1.17
WEASEL,Ham,4.62,1.33
WEASEL,HandOutlines,155.98,38.47
WEASEL,Haptics,11.55,13.42
WEASEL,Herring,2.32,0.9
WEASEL,HouseTwenty,6.39,8.83
WEASEL,InlineSkate,12.18,44.25
WEASEL,InsectEPGRegularTrain,4.54,5.31
WEASEL,InsectEPGSmallTrain,1.36,5.44
WEASEL,InsectWingbeatSound,4.4,14.01
WEASEL,ItalyPowerDemand,0.38,0.18
WEASEL,LargeKitchenAppliances,17.18,10.03
WEASEL,Lightning2,2.75,1.26
WEASEL,Lightning7,3.21,0.79
WEASEL,Mallat,5.21,111.56
WEASEL,Meat,3.41,0.85
WEASEL,MedicalImages,7.88,3.09
WEASEL,MiddlePhalanxOutlineAgeGroup,7.93,0.84
WEASEL,MiddlePhalanxOutlineCorrect,7.12,0.76
WEASEL,MiddlePhalanxTW,5.86,0.53
WEASEL,MixedShapesRegularTrain,31.97,99.39
WEASEL,MixedShapesSmallTrain,7.56,103.93
WEASEL,MoteStrain,2.55,3.21
WEASEL,NonInvasiveFetalECGThorax1,182.28,56.56
WEASEL,NonInvasiveFetalECGThorax2,179.99,52.46
WEASEL,OliveOil,2.65,0.57
WEASEL,OSULeaf,6.22,3.19
WEASEL,PhalangesOutlinesCorrect,29.83,2.44
WEASEL,Phoneme,22.78,95.01
WEASEL,PickupGestureWiimoteZ,3.64,0.74
WEASEL,PigAirwayPressure,23.75,18.0
WEASEL,PigArtPressure,21.13,14.72
WEASEL,PigCVP,21.64,15.09
WEASEL,Plane,1.85,0.38
WEASEL,PowerCons,2.55,0.64
WEASEL,ProximalPhalanxOutlineAgeGroup,5.37,0.6
WEASEL,ProximalPhalanxOutlineCorrect,7.08,0.74
WEASEL,ProximalPhalanxTW,6.19,0.68
WEASEL,RefrigerationDevices,15.14,9.33
WEASEL,Rock,3.78,5.18
WEASEL,ScreenType,17.8,9.53
WEASEL,SemgHandGenderCh2,25.92,32.65
WEASEL,SemgHandMovementCh2,42.43,25.14
WEASEL,SemgHandSubjectCh2,39.38,22.66
WEASEL,ShakeGestureWiimoteZ,1.99,0.63
WEASEL,ShapeletSim,1.64,2.58
WEASEL,ShapesAll,38.14,10.33
WEASEL,SmallKitchenAppliances,21.3,10.14
WEASEL,SmoothSubspace,2.59,0.36
WEASEL,SonyAIBORobotSurface1,1.3,1.15
WEASEL,SonyAIBORobotSurface2,1.3,1.55
WEASEL,StarLightCurves,68.37,386.92
WEASEL,Strawberry,11.67,2.89
WEASEL,SwedishLeaf,6.16,1.75
WEASEL,Symbols,2.5,18.15
WEASEL,SyntheticControl,3.09,0.46
WEASEL,ToeSegmentation1,1.47,1.76
WEASEL,ToeSegmentation2,1.71,1.38
WEASEL,Trace,2.71,0.76
WEASEL,TwoLeadECG,1.4,2.73
WEASEL,TwoPatterns,17.4,11.89
WEASEL,UMD,1.12,0.49
WEASEL,UWaveGestureLibraryAll,74.85,143.27
WEASEL,UWaveGestureLibraryX,21.92,42.14
WEASEL,UWaveGestureLibraryY,21.82,40.66
WEASEL,UWaveGestureLibraryZ,22.25,40.83
WEASEL,Wafer,11.66,25.45
WEASEL,Wine,1.62,0.42
WEASEL,WordSynonyms,10.42,4.93
WEASEL,Worms,11.8,2.75
WEASEL,WormsTwoClass,11.92,2.82
WEASEL,Yoga,8.08,43.52
BOSS,ACSF1,1011.35,2.16
BOSS,Adiac,328.81,35.48
BOSS,ArrowHead,43.49,2.02
BOSS,Beef,75.61,0.85
BOSS,BeetleFly,57.84,2.67
BOSS,BirdChicken,59.57,5.61
BOSS,BME,19.36,5.84
BOSS,Car,187.68,3.63
BOSS,CBF,20.65,52.78
BOSS,Chinatown,3.91,2.47
BOSS,ChlorineConcentration,416.46,454.9
BOSS,CinCECGTorso,484.49,153.98
BOSS,Coffee,43.47,8.18
BOSS,Computers,1289.46,35.34
BOSS,CricketX,848.19,22.25
BOSS,CricketY,853.1,44.0
BOSS,CricketZ,796.22,37.45
BOSS,Crop,2933.02,733.31
BOSS,DiatomSizeReduction,23.67,76.93
BOSS,DistalPhalanxOutlineAgeGroup,126.32,8.82
BOSS,DistalPhalanxOutlineCorrect,215.46,17.15
BOSS,DistalPhalanxTW,135.56,7.49
BOSS,Earthquakes,1397.5,54.26
BOSS,ECG200,40.55,3.28
BOSS,ECG5000,382.66,635.26
BOSS,ECGFiveDays,11.98,32.24
BOSS,ElectricDevices,11485.22,196.32
BOSS,EOGHorizontalSignal,5308.23,221.33
BOSS,EOGVerticalSignal,5245.34,99.07
BOSS,EthanolLevel,8349.34,76.4
BOSS,FaceAll,426.68,146.63
BOSS,FaceFour,46.76,13.39
BOSS,FacesUCR,116.77,125.44
BOSS,FiftyWords,775.6,47.21
BOSS,Fish,441.18,28.11
BOSS,FordA,47343.7,380.29
BOSS,FordB,50613.01,309.47
BOSS,FreezerRegularTrain,254.04,741.01
BOSS,FreezerSmallTrain,46.03,661.06
BOSS,GunPoint,32.26,11.91
BOSS,GunPointAgeSpan,92.69,30.47
BOSS,GunPointMaleVersusFemale,88.49,37.06
BOSS,GunPointOldVersusYoung,89.63,33.61
BOSS,Ham,258.48,9.7
BOSS,HandOutlines,31561.29,721.16
BOSS,Haptics,1083.51,15.48
BOSS,Herring,165.24,1.59
BOSS,HouseTwenty,616.84,84.29
BOSS,InlineSkate,1435.29,33.67
BOSS,InsectEPGRegularTrain,217.41,65.05
BOSS,InsectEPGSmallTrain,58.74,41.02
BOSS,InsectWingbeatSound,288.78,67.25
BOSS,ItalyPowerDemand,6.5,6.08
BOSS,LargeKitchenAppliances,1784.61,101.61
BOSS,Lightning2,212.75,6.27
BOSS,Lightning7,108.79,0.7
BOSS,Mallat,338.15,698.29
BOSS,Meat,131.34,23.51
BOSS,MedicalImages,167.73,16.78
BOSS,MiddlePhalanxOutlineAgeGroup,137.14,10.64
BOSS,MiddlePhalanxOutlineCorrect,209.48,14.2
BOSS,MiddlePhalanxTW,134.02,9.05
BOSS,MixedShapesRegularTrain,5212.93,515.22
BOSS,MixedShapesSmallTrain,643.21,195.61
BOSS,MoteStrain,7.22,4.81
BOSS,NonInvasiveFetalECGThorax1,19504.15,564.57
BOSS,NonInvasiveFetalECGThorax2,18589.11,838.14
BOSS,OliveOil,95.73,7.67
BOSS,OSULeaf,564.36,5.15
BOSS,PhalangesOutlinesCorrect,834.74,56.04
BOSS,Phoneme,1963.62,17.2
BOSS,PickupGestureWiimoteZ,95.86,0.08
BOSS,PigAirwayPressure,1555.94,19.02
BOSS,PigArtPressure,1652.69,36.14
BOSS,PigCVP,1979.28,47.32
BOSS,Plane,66.67,11.75
BOSS,PowerCons,109.65,7.73
BOSS,ProximalPhalanxOutlineAgeGroup,131.0,11.57
BOSS,ProximalPhalanxOutlineCorrect,205.42,14.17
BOSS,ProximalPhalanxTW,143.6,13.17
BOSS,RefrigerationDevices,2588.97,57.92
BOSS,Rock,427.26,4.91
BOSS,ScreenType,2194.56,20.06
BOSS,SemgHandGenderCh2,5328.58,67.92
BOSS,SemgHandMovementCh2,8186.15,25.34
BOSS,SemgHandSubjectCh2,8598.74,22.18
BOSS,ShakeGestureWiimoteZ,88.63,0.21
BOSS,ShapeletSim,53.22,9.68
BOSS,ShapesAll,2609.17,127.15
BOSS,SmallKitchenAppliances,2000.42,31.84
BOSS,SmoothSubspace,10.74,0.51
BOSS,SonyAIBORobotSurface1,6.6,9.34
BOSS,SonyAIBORobotSurface2,6.93,15.36
BOSS,StarLightCurves,8530.02,6741.48
BOSS,Strawberry,1056.05,130.37
BOSS,SwedishLeaf,311.41,28.36
BOSS,Symbols,51.12,188.67
BOSS,SyntheticControl,71.06,6.29
BOSS,ToeSegmentation1,51.74,8.91
BOSS,ToeSegmentation2,61.39,11.54
BOSS,Trace,140.53,17.85
BOSS,TwoLeadECG,8.08,30.72
BOSS,TwoPatterns,881.16,167.96
BOSS,UMD,23.89,1.22
BOSS,UWaveGestureLibraryAll,10427.38,626.72
BOSS,UWaveGestureLibraryX,2234.55,214.37
BOSS,UWaveGestureLibraryY,2193.93,101.5
BOSS,UWaveGestureLibraryZ,2121.47,132.78
BOSS,Wafer,972.9,946.76
BOSS,Wine,61.54,10.12
BOSS,WordSynonyms,410.48,36.78
BOSS,Worms,1242.76,26.71
BOSS,WormsTwoClass,1147.09,12.96
BOSS,Yoga,680.69,328.73
cBOSS,ACSF1,136.69,14.42
cBOSS,Adiac,45.89,30.48
cBOSS,ArrowHead,11.18,15.83
cBOSS,Beef,8.84,3.84
cBOSS,BeetleFly,10.54,3.08
cBOSS,BirdChicken,14.33,3.55
cBOSS,BME,4.31,6.94
cBOSS,Car,36.12,5.64
cBOSS,CBF,6.53,58.5
cBOSS,Chinatown,1.9,12.74
cBOSS,ChlorineConcentration,49.37,329.56
cBOSS,CinCECGTorso,46.82,197.25
cBOSS,Coffee,7.0,2.34
cBOSS,Computers,291.17,32.33
cBOSS,CricketX,187.42,31.77
cBOSS,CricketY,184.36,30.47
cBOSS,CricketZ,174.92,31.84
cBOSS,Crop,411.61,2136.27
cBOSS,DiatomSizeReduction,7.83,24.38
cBOSS,DistalPhalanxOutlineAgeGroup,17.63,11.72
cBOSS,DistalPhalanxOutlineCorrect,25.38,19.02
cBOSS,DistalPhalanxTW,16.33,10.35
cBOSS,Earthquakes,259.39,10.93
cBOSS,ECG200,3.85,3.96
cBOSS,ECG5000,53.35,341.54
cBOSS,ECGFiveDays,4.67,56.67
cBOSS,ElectricDevices,1931.27,2140.47
cBOSS,EOGHorizontalSignal,975.77,68.75
cBOSS,EOGVerticalSignal,927.78,71.21
cBOSS,EthanolLevel,907.62,205.32
cBOSS,FaceAll,63.3,132.92
cBOSS,FaceFour,10.67,6.02
cBOSS,FacesUCR,18.92,140.66
cBOSS,FiftyWords,137.53,34.73
cBOSS,Fish,105.54,15.67
cBOSS,FordA,10085.84,602.49
cBOSS,FordB,11020.84,355.27
cBOSS,FreezerRegularTrain,47.51,249.29
cBOSS,FreezerSmallTrain,9.67,209.97
cBOSS,GunPoint,6.46,9.75
cBOSS,GunPointAgeSpan,12.8,21.6
cBOSS,GunPointMaleVersusFemale,12.87,20.95
cBOSS,GunPointOldVersusYoung,12.87,20.53
cBOSS,Ham,68.58,9.45
cBOSS,HandOutlines,3356.86,169.51
cBOSS,Haptics,268.41,41.38
cBOSS,Herring,27.5,5.14
cBOSS,HouseTwenty,81.7,17.08
cBOSS,InlineSkate,133.27,55.66
cBOSS,InsectEPGRegularTrain,49.7,22.4
cBOSS,InsectEPGSmallTrain,10.22,21.08
cBOSS,InsectWingbeatSound,56.68,135.08
cBOSS,ItalyPowerDemand,0.81,59.49
cBOSS,LargeKitchenAppliances,465.59,41.6
cBOSS,Lightning2,38.94,5.02
cBOSS,Lightning7,23.72,5.41
cBOSS,Mallat,42.73,193.73
cBOSS,Meat,15.4,5.22
cBOSS,MedicalImages,19.78,48.16
cBOSS,MiddlePhalanxOutlineAgeGroup,13.1,10.63
cBOSS,MiddlePhalanxOutlineCorrect,20.81,20.62
cBOSS,MiddlePhalanxTW,12.65,11.22
cBOSS,MixedShapesRegularTrain,1393.3,740.53
cBOSS,MixedShapesSmallTrain,137.92,326.8
cBOSS,MoteStrain,2.81,75.94
cBOSS,NonInvasiveFetalECGThorax1,4512.01,150.02
cBOSS,NonInvasiveFetalECGThorax2,3750.02,244.96
cBOSS,OliveOil,13.64,2.9
cBOSS,OSULeaf,134.08,26.52
cBOSS,PhalangesOutlinesCorrect,85.22,75.57
cBOSS,Phoneme,176.18,338.12
cBOSS,PickupGestureWiimoteZ,19.27,3.33
cBOSS,PigAirwayPressure,155.93,27.06
cBOSS,PigArtPressure,286.51,35.64
cBOSS,PigCVP,283.09,34.82
cBOSS,Plane,10.81,6.88
cBOSS,PowerCons,18.57,11.51
cBOSS,ProximalPhalanxOutlineAgeGroup,12.33,13.85
cBOSS,ProximalPhalanxOutlineCorrect,21.85,22.91
cBOSS,ProximalPhalanxTW,13.24,15.35
cBOSS,RefrigerationDevices,713.96,63.82
cBOSS,Rock,19.62,7.74
cBOSS,ScreenType,357.24,57.25
cBOSS,SemgHandGenderCh2,1550.59,53.9
cBOSS,SemgHandMovementCh2,1100.99,37.39
cBOSS,SemgHandSubjectCh2,1325.79,39.73
cBOSS,ShakeGestureWiimoteZ,28.73,4.29
cBOSS,ShapeletSim,6.77,10.97
cBOSS,ShapesAll,594.03,67.06
cBOSS,SmallKitchenAppliances,454.46,41.29
cBOSS,SmoothSubspace,1.4,6.01
cBOSS,SonyAIBORobotSurface1,1.97,36.46
cBOSS,SonyAIBORobotSurface2,1.76,55.92
cBOSS,StarLightCurves,2067.42,1136.95
cBOSS,Strawberry,131.93,41.95
cBOSS,SwedishLeaf,45.0,52.81
cBOSS,Symbols,16.29,79.52
cBOSS,SyntheticControl,6.99,16.84
cBOSS,ToeSegmentation1,14.04,14.37
cBOSS,ToeSegmentation2,16.87,10.29
cBOSS,Trace,21.87,6.92
cBOSS,TwoLeadECG,2.13,69.81
cBOSS,TwoPatterns,127.69,302.21
cBOSS,UMD,5.49,9.88
cBOSS,UWaveGestureLibraryAll,2800.77,179.15
cBOSS,UWaveGestureLibraryX,503.71,274.79
cBOSS,UWaveGestureLibraryY,506.6,263.92
cBOSS,UWaveGestureLibraryZ,468.95,276.72
cBOSS,Wafer,120.47,699.82
cBOSS,Wine,11.92,4.14
cBOSS,WordSynonyms,73.93,46.18
cBOSS,Worms,176.82,8.34
cBOSS,WormsTwoClass,217.62,12.47
cBOSS,Yoga,170.35,267.24
TDE,ACSF1,1389.48,413.32
TDE,Adiac,1156.89,286.39
TDE,ArrowHead,90.98,103.42
TDE,Beef,117.06,27.03
TDE,BeetleFly,126.68,28.82
TDE,BirdChicken,104.57,23.03
TDE,BME,59.84,71.81
TDE,Car,226.78,41.5
TDE,CBF,48.19,247.52
TDE,Chinatown,12.11,35.35
TDE,ChlorineConcentration,1980.31,4370.66
TDE,CinCECGTorso,685.53,5972.26
TDE,Coffee,69.77,13.96
TDE,Computers,1773.77,637.9
TDE,CricketX,1471.15,401.87
TDE,CricketY,1559.57,435.08
TDE,CricketZ,1708.56,464.81
TDE,Crop,61295.46,37432.7
TDE,DiatomSizeReduction,69.27,256.64
TDE,DistalPhalanxOutlineAgeGroup,666.14,69.34
TDE,DistalPhalanxOutlineCorrect,1518.84,207.23
TDE,DistalPhalanxTW,759.47,83.33
TDE,Earthquakes,1431.3,85.9
TDE,ECG200,97.14,24.09
TDE,ECG5000,1439.33,4034.87
TDE,ECGFiveDays,29.48,180.93
TDE,ElectricDevices,115348.79,35010.88
TDE,EOGHorizontalSignal,3275.98,609.67
TDE,EOGVerticalSignal,2690.92,461.81
TDE,EthanolLevel,7256.59,1364.48
TDE,FaceAll,1908.85,1964.13
TDE,FaceFour,93.08,87.77
TDE,FacesUCR,432.0,1373.62
TDE,FiftyWords,2492.19,799.12
TDE,Fish,843.9,261.63
TDE,FordA,67765.7,6545.37
TDE,FordB,52620.96,2876.95
TDE,FreezerRegularTrain,525.45,2842.36
TDE,FreezerSmallTrain,45.66,799.76
TDE,GunPoint,98.21,90.12
TDE,GunPointAgeSpan,280.49,187.91
TDE,GunPointMaleVersusFemale,182.1,137.47
TDE,GunPointOldVersusYoung,207.3,133.71
TDE,Ham,553.83,172.03
TDE,HandOutlines,16114.23,1131.65
TDE,Haptics,1713.69,866.08
TDE,Herring,124.08,14.27
TDE,HouseTwenty,828.87,623.93
TDE,InlineSkate,1614.12,2412.61
TDE,InsectEPGRegularTrain,446.1,539.61
TDE,InsectEPGSmallTrain,116.62,388.05
TDE,InsectWingbeatSound,399.18,1023.64
TDE,ItalyPowerDemand,34.45,122.25
TDE,LargeKitchenAppliances,1919.08,577.19
TDE,Lightning2,134.46,19.1
TDE,Lightning7,177.26,38.14
TDE,Mallat,547.39,4844.04
TDE,Meat,304.03,87.49
TDE,MedicalImages,843.07,575.92
TDE,MiddlePhalanxOutlineAgeGroup,723.92,88.18
TDE,MiddlePhalanxOutlineCorrect,1128.08,157.6
TDE,MiddlePhalanxTW,812.07,95.23
TDE,MixedShapesRegularTrain,7325.04,11589.24
TDE,MixedShapesSmallTrain,1268.38,7169.56
TDE,MoteStrain,29.03,378.86
TDE,NonInvasiveFetalECGThorax1,10963.32,2754.86
TDE,NonInvasiveFetalECGThorax2,10012.43,1953.71
TDE,OliveOil,122.99,32.63
TDE,OSULeaf,1006.35,357.86
TDE,PhalangesOutlinesCorrect,6842.72,773.62
TDE,Phoneme,2816.98,5627.72
TDE,PickupGestureWiimoteZ,102.05,11.66
TDE,PigAirwayPressure,1409.96,728.41
TDE,PigArtPressure,1801.42,947.5
TDE,PigCVP,1636.8,816.31
TDE,Plane,230.28,67.57
TDE,PowerCons,145.57,35.83
TDE,ProximalPhalanxOutlineAgeGroup,665.15,105.04
TDE,ProximalPhalanxOutlineCorrect,1239.97,194.59
TDE,ProximalPhalanxTW,662.52,109.19
TDE,RefrigerationDevices,2767.55,888.35
TDE,Rock,594.1,402.57
TDE,ScreenType,2918.58,739.44
TDE,SemgHandGenderCh2,1122.42,210.59
TDE,SemgHandMovementCh2,2125.98,180.61
TDE,SemgHandSubjectCh2,2340.76,155.74
TDE,ShakeGestureWiimoteZ,208.34,54.11
TDE,ShapeletSim,107.7,250.57
TDE,ShapesAll,4205.71,1028.59
TDE,SmallKitchenAppliances,2614.39,702.69
TDE,SmoothSubspace,65.33,25.5
TDE,SonyAIBORobotSurface1,21.28,133.71
TDE,SonyAIBORobotSurface2,26.74,223.22
TDE,StarLightCurves,11427.75,29624.72
TDE,Strawberry,3201.8,451.83
TDE,SwedishLeaf,1404.63,500.4
TDE,Symbols,102.83,973.84
TDE,SyntheticControl,299.9,98.2
TDE,ToeSegmentation1,95.11,130.55
TDE,ToeSegmentation2,103.66,76.51
TDE,Trace,266.93,70.39
TDE,TwoLeadECG,31.06,318.8
TDE,TwoPatterns,3688.7,5121.12
TDE,UMD,55.36,60.68
TDE,UWaveGestureLibraryAll,11480.3,11525.23
TDE,UWaveGestureLibraryX,4037.91,3750.66
TDE,UWaveGestureLibraryY,4640.9,4701.12
TDE,UWaveGestureLibraryZ,4247.85,5294.94
TDE,Wafer,3812.12,7312.2
TDE,Wine,118.28,34.57
TDE,WordSynonyms,1010.83,558.19
TDE,Worms,1259.94,173.42
TDE,WormsTwoClass,1443.14,154.01
TDE,Yoga,1248.24,2635.69
MultiRocket,ACSF1,8.49,6.95
MultiRocket,Adiac,6.52,4.29
MultiRocket,ArrowHead,1.29,2.93
MultiRocket,Beef,1.86,1.4
MultiRocket,BeetleFly,1.68,1.15
MultiRocket,BirdChicken,2.1,1.05
MultiRocket,BME,0.85,1.62
MultiRocket,Car,3.08,2.33
MultiRocket,CBF,1.0,9.02
MultiRocket,Chinatown,1.01,1.48
MultiRocket,ChlorineConcentration,8.47,49.79
MultiRocket,CinCECGTorso,4.66,126.48
MultiRocket,Coffee,1.54,1.0
MultiRocket,Computers,11.17,9.63
MultiRocket,CricketX,9.7,8.0
MultiRocket,CricketY,9.67,7.95
MultiRocket,CricketZ,9.69,8.06
MultiRocket,Crop,395.4,75.1
MultiRocket,DiatomSizeReduction,0.99,6.01
MultiRocket,DistalPhalanxOutlineAgeGroup,4.44,1.22
MultiRocket,DistalPhalanxOutlineCorrect,6.91,2.02
MultiRocket,DistalPhalanxTW,4.17,1.22
MultiRocket,Earthquakes,13.59,5.54
MultiRocket,ECG200,1.55,1.14
MultiRocket,ECG5000,7.28,40.64
MultiRocket,ECGFiveDays,0.85,8.07
MultiRocket,ElectricDevices,609.0,44.42
MultiRocket,EOGHorizontalSignal,27.9,25.99
MultiRocket,EOGVerticalSignal,28.96,26.46
MultiRocket,EthanolLevel,50.61,46.58
MultiRocket,FaceAll,8.19,15.1
MultiRocket,FaceFour,1.23,2.38
MultiRocket,FacesUCR,3.0,19.29
MultiRocket,FiftyWords,8.82,6.81
MultiRocket,Fish,5.34,4.53
MultiRocket,FordA,165.76,35.78
MultiRocket,FordB,177.26,22.68
MultiRocket,FreezerRegularTrain,4.21,57.45
MultiRocket,FreezerSmallTrain,1.25,56.49
MultiRocket,GunPoint,1.18,1.83
MultiRocket,GunPointAgeSpan,2.19,3.16
MultiRocket,GunPointMaleVersusFemale,2.06,2.95
MultiRocket,GunPointOldVersusYoung,2.21,3.1
MultiRocket,Ham,3.47,2.86
MultiRocket,HandOutlines,152.11,53.52
MultiRocket,Haptics,9.81,17.08
MultiRocket,Herring,2.56,2.18
MultiRocket,HouseTwenty,6.31,15.35
MultiRocket,InlineSkate,12.61,61.96
MultiRocket,InsectEPGRegularTrain,3.34,10.09
MultiRocket,InsectEPGSmallTrain,1.45,10.45
MultiRocket,InsectWingbeatSound,4.37,27.81
MultiRocket,ItalyPowerDemand,0.95,3.62
MultiRocket,LargeKitchenAppliances,14.52,12.53
MultiRocket,Lightning2,3.39,2.99
MultiRocket,Lightning7,2.33,2.01
MultiRocket,Mallat,3.66,116.24
MultiRocket,Meat,2.24,1.91
MultiRocket,MedicalImages,4.63,5.53
MultiRocket,MiddlePhalanxOutlineAgeGroup,4.51,1.3
MultiRocket,MiddlePhalanxOutlineCorrect,6.51,2.03
MultiRocket,MiddlePhalanxTW,4.5,1.31
MultiRocket,MixedShapesRegularTrain,30.2,130.49
MultiRocket,MixedShapesSmallTrain,6.57,129.99
MultiRocket,MoteStrain,0.74,7.91
MultiRocket,NonInvasiveFetalECGThorax1,94.26,79.99
MultiRocket,NonInvasiveFetalECGThorax2,90.35,78.97
MultiRocket,OliveOil,1.63,1.35
MultiRocket,OSULeaf,6.23,6.23
MultiRocket,PhalangesOutlinesCorrect,26.95,4.95
MultiRocket,Phoneme,14.75,114.06
MultiRocket,PickupGestureWiimoteZ,2.0,1.64
MultiRocket,PigAirwayPressure,13.67,25.04
MultiRocket,PigArtPressure,12.15,21.93
MultiRocket,PigCVP,13.87,25.12
MultiRocket,Plane,1.79,1.37
MultiRocket,PowerCons,2.86,2.13
MultiRocket,ProximalPhalanxOutlineAgeGroup,4.46,1.57
MultiRocket,ProximalPhalanxOutlineCorrect,6.66,1.95
MultiRocket,ProximalPhalanxTW,4.32,1.51
MultiRocket,RefrigerationDevices,18.46,16.75
MultiRocket,Rock,4.3,7.84
MultiRocket,ScreenType,16.58,14.11
MultiRocket,SemgHandGenderCh2,34.07,64.83
MultiRocket,SemgHandMovementCh2,51.96,48.99
MultiRocket,SemgHandSubjectCh2,51.85,48.66
MultiRocket,ShakeGestureWiimoteZ,1.99,1.68
MultiRocket,ShapeletSim,1.48,7.16
MultiRocket,ShapesAll,21.09,17.66
MultiRocket,SmallKitchenAppliances,14.81,13.14
MultiRocket,SmoothSubspace,1.34,0.8
MultiRocket,SonyAIBORobotSurface1,0.75,3.69
MultiRocket,SonyAIBORobotSurface2,0.77,5.44
MultiRocket,StarLightCurves,51.37,347.97
MultiRocket,Strawberry,11.23,5.12
MultiRocket,SwedishLeaf,6.83,5.65
MultiRocket,Symbols,1.25,21.39
MultiRocket,SyntheticControl,3.33,2.06
MultiRocket,ToeSegmentation1,1.4,4.51
MultiRocket,ToeSegmentation2,1.51,3.13
MultiRocket,Trace,2.84,2.32
MultiRocket,TwoLeadECG,0.76,7.1
MultiRocket,TwoPatterns,16.26,40.16
MultiRocket,UMD,1.06,1.86
MultiRocket,UWaveGestureLibraryAll,53.43,185.04
MultiRocket,UWaveGestureLibraryX,20.7,57.98
MultiRocket,UWaveGestureLibraryY,21.12,59.44
MultiRocket,Wafer,16.31,59.49
MultiRocket,Wine,1.48,1.15
MultiRocket,WordSynonyms,5.45,9.46
MultiRocket,Worms,11.27,4.71
MultiRocket,WormsTwoClass,11.29,4.62
MultiRocket,Yoga,8.93,69.46
WEASEL (dilation),ACSF1,9.97,5.74
WEASEL (dilation),Adiac,22.22,9.1
WEASEL (dilation),ArrowHead,3.36,2.06
WEASEL (dilation),Beef,3.46,0.8
WEASEL (dilation),BeetleFly,2.97,0.6
WEASEL (dilation),BirdChicken,2.81,0.62
WEASEL (dilation),BME,2.59,0.95
WEASEL (dilation),Car,4.22,1.4
WEASEL (dilation),CBF,0.86,5.64
WEASEL (dilation),Chinatown,0.56,0.48
WEASEL (dilation),ChlorineConcentration,22.62,116.88
WEASEL (dilation),CinCECGTorso,4.04,115.12
WEASEL (dilation),Coffee,1.14,0.36
WEASEL (dilation),Computers,42.82,31.69
WEASEL (dilation),CricketX,31.38,19.43
WEASEL (dilation),CricketY,26.42,15.1
WEASEL (dilation),CricketZ,28.5,16.7
WEASEL (dilation),Crop,453.82,162.62
WEASEL (dilation),DiatomSizeReduction,0.88,4.15
WEASEL (dilation),DistalPhalanxOutlineAgeGroup,8.72,1.07
WEASEL (dilation),DistalPhalanxOutlineCorrect,12.51,1.88
WEASEL (dilation),DistalPhalanxTW,8.58,1.06
WEASEL (dilation),Earthquakes,35.6,10.0
WEASEL (dilation),ECG200,1.61,0.49
WEASEL (dilation),ECG5000,20.33,92.18
WEASEL (dilation),ECGFiveDays,0.95,5.55
WEASEL (dilation),ElectricDevices,914.23,144.87
WEASEL (dilation),EOGHorizontalSignal,82.41,60.89
WEASEL (dilation),EOGVerticalSignal,103.87,76.67
WEASEL (dilation),EthanolLevel,174.74,137.58
WEASEL (dilation),FaceAll,22.18,26.0
WEASEL (dilation),FaceFour,3.54,1.64
WEASEL (dilation),FacesUCR,3.02,12.75
WEASEL (dilation),FiftyWords,27.64,14.61
WEASEL (dilation),Fish,5.6,3.16
WEASEL (dilation),FordA,462.45,80.48
WEASEL (dilation),FordB,496.34,53.81
WEASEL (dilation),FreezerRegularTrain,3.76,48.78
WEASEL (dilation),FreezerSmallTrain,1.23,49.76
WEASEL (dilation),GunPoint,1.32,0.95
WEASEL (dilation),GunPointAgeSpan,2.26,1.98
WEASEL (dilation),GunPointMaleVersusFemale,2.3,2.04
WEASEL (dilation),GunPointOldVersusYoung,2.27,1.94
WEASEL (dilation),Ham,3.58,1.82
WEASEL (dilation),HandOutlines,569.31,165.8
WEASEL (dilation),Haptics,9.74,13.08
WEASEL (dilation),Herring,2.75,1.44
WEASEL (dilation),HouseTwenty,5.02,9.36
WEASEL (dilation),InlineSkate,11.86,60.45
WEASEL (dilation),InsectEPGRegularTrain,2.95,7.01
WEASEL (dilation),InsectEPGSmallTrain,1.39,7.65
WEASEL (dilation),InsectWingbeatSound,4.67,24.24
WEASEL (dilation),ItalyPowerDemand,1.1,1.67
WEASEL (dilation),LargeKitchenAppliances,53.67,38.35
WEASEL (dilation),Lightning2,3.38,2.0
